id,topic,argument,source_title,source_url
1,We should limit executive compensation,"A February 2009 report, published by the Institute for Policy Studies notes the impact excessive executive compensation has on taxpayers: U.S. taxpayers subsidize excessive executive compensation - by more than $20 billion per year - via a variety of tax and accounting loopholes.",Executive pay,https://en.wikipedia.org/wiki/Executive_pay
2,We should ban partial birth abortions,"Also in his first year as governor Huckabee signed a partial birth abortion ban and a $7.6 Million Smart Start program for primary school students to learn ""the basic skills of reading, math, and character.""",Governorship of Mike Huckabee,https://en.wikipedia.org/wiki/Governorship_of_Mike_Huckabee
3,We should ban partial birth abortions,"In 2007, the Court upheld a federal statute banning partial-birth abortion in Gonzales v. Carhart [REF].",Antonin Scalia,https://en.wikipedia.org/wiki/Antonin_Scalia
4,We should ban partial birth abortions,"Obama voted against the Partial-Birth Abortion Ban Act, saying ""On an issue like partial birth abortion, I strongly believe that the state can properly restrict late-term abortions.",Barack Obama social policy,https://en.wikipedia.org/wiki/Barack_Obama_social_policy
5,We should ban partial birth abortions,Otter is pro-life and has voted to ban federal funding of abortions and opposes partial-birth abortions.,Butch Otter,https://en.wikipedia.org/wiki/Butch_Otter
6,We should ban partial birth abortions,"In the mid-1990s, Moynihan was one of the Democrats to support the ban on the procedure known as partial-birth abortion.",Daniel Patrick Moynihan,https://en.wikipedia.org/wiki/Daniel_Patrick_Moynihan
7,We should ban partial birth abortions,"In 2007, the organization was involved in a Supreme Court case in which it helped to uphold the 2003 federal ban on partial-birth abortions [REF].",Americans United for Life,https://en.wikipedia.org/wiki/Americans_United_for_Life
8,We should ban partial birth abortions,"Snyder voted against the Federal Marriage Amendment, the ban on partial-birth abortions, banning lawsuits against gun manufacturers and distributors, bankruptcy reform, drilling in ANWR, and on October 10, 2002, he was among the 133 members of the House who voted against authorizing the invasion of Iraq.",Vic Snyder,https://en.wikipedia.org/wiki/Vic_Snyder
9,We should ban partial birth abortions,"Kennedy wrote the majority opinion in 2007's Gonzales v. Carhart, which held that a federal law criminalizing partial-birth abortion did not violate Casey because it did not impose an ""undue burden.""",Anthony Kennedy,https://en.wikipedia.org/wiki/Anthony_Kennedy
10,We should ban partial birth abortions,"The DLC opposed the partial birth abortion ban, the expiration of the 1994 assault weapon ban, the Clear Skies Initiative, and what they perceived as a lack of funding of the Community Oriented Policing Services (COPS) program.",Democratic Leadership Council,https://en.wikipedia.org/wiki/Democratic_Leadership_Council
11,We should ban partial birth abortions,"Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba.",Jim Jeffords,https://en.wikipedia.org/wiki/Jim_Jeffords
12,We should ban partial birth abortions,"In writing against a legal ban on so-called ""partial birth abortion,"" Rabbi David Ellenson, president of the Reform Movement's Hebrew Union College, has written, ""This law as it has been enacted unquestionably diminishes the inviolable status and worth that ought to be granted women as moral agents created in the image of God."" .",Judaism and abortion,https://en.wikipedia.org/wiki/Judaism_and_abortion
13,We should ban partial birth abortions,"In the 2000 Supreme Court case of Stenberg v. Carhart, a Nebraska law banning ""partial-birth abortion"" was ruled unconstitutional, in part because the language defining ""partial-birth abortion"" was deemed vague [REF].",Partial-Birth Abortion Ban Act,https://en.wikipedia.org/wiki/Partial-Birth_Abortion_Ban_Act
14,We should ban partial birth abortions,"In 2000 Ohio introduced another ""partial-birth abortion"" ban.",Intact dilation and extraction,https://en.wikipedia.org/wiki/Intact_dilation_and_extraction
15,We should ban partial birth abortions,"Several polls have stated that a majority of Americans support banning ""partial birth abortion"" when the pollsters describe it as such [REF].",Political positions of Harry Reid,https://en.wikipedia.org/wiki/Political_positions_of_Harry_Reid
16,We should ban partial birth abortions,"Kennedy's majority opinion argued that the case differed from Stenberg v. Carhart, a 2000 case in which the Supreme Court struck down a state ban on ""partial-birth abortion"" as unconstitutional, in that the Partial Birth Abortion Act defined the banned procedure more clearly.",Partial-Birth Abortion Ban Act,https://en.wikipedia.org/wiki/Partial-Birth_Abortion_Ban_Act
17,We should ban partial birth abortions,O'Reilly ardently condemns the practice of partial birth abortion.,Political views of Bill O'Reilly,https://en.wikipedia.org/wiki/Political_views_of_Bill_O'Reilly
18,We should ban partial birth abortions,Thomas further noted that the gruesome nature of some partial-birth abortions has caused personal trauma in the doctors performing them.,Stenberg v. Carhart,https://en.wikipedia.org/wiki/Stenberg_v._Carhart
19,We should ban partial birth abortions,"Abortion Upton opposes abortion in most circumstances, voting to prohibit partial-birth abortion and supported the interests of the National Right to Life Committee 75 percent in 2009 [REF].",Fred Upton,https://en.wikipedia.org/wiki/Fred_Upton
20,We should ban partial birth abortions,"In 2010, he stated, ""I support the Roe v. Wade Supreme Court decision; however, I oppose federal funding of abortions (Hyde Amendment) and support banning of so-called partial-birth abortions.""[REF]",Charles Bass,https://en.wikipedia.org/wiki/Charles_Bass
21,We should ban partial birth abortions,"While in the State Senate, Lauzen has also sponsored a ban on partial-birth abortion, has supported term limits for State Legislators,[REF] has tried to limit spending in the Illinois General Assembly, and has worked to reduce deficit spending in Illinois.",Chris Lauzen,https://en.wikipedia.org/wiki/Chris_Lauzen
22,We should ban partial birth abortions,The United States Supreme Court upheld the 2003 partial-birth abortion ban by a narrow majority of 5-4.,Abortion in the United States by state,https://en.wikipedia.org/wiki/Abortion_in_the_United_States_by_state
23,We should ban partial birth abortions,"In 2003, Byrd voted for the Partial-Birth Abortion Ban Act, which prohibits intact dilation and extraction [REF].",Robert Byrd,https://en.wikipedia.org/wiki/Robert_Byrd
24,We should ban partial birth abortions,"In Stenberg v. Carhart (2000), the Court struck down a state ban on partial-birth abortion, concluding that it failed the ""undue burden"" test established in Casey.",Clarence Thomas,https://en.wikipedia.org/wiki/Clarence_Thomas
25,We should ban partial birth abortions,"In 1997, McCarthy voted against a ban on late-term partial-birth abortions.",Carolyn McCarthy,https://en.wikipedia.org/wiki/Carolyn_McCarthy
26,We should ban partial birth abortions,"On June 24, 2008, Wilkinson authored a concurring opinion in Richmond Medical Center For Women v. Herring, which upheld the Virginia ban on partial-birth abortions.",J. Harvie Wilkinson III,https://en.wikipedia.org/wiki/J._Harvie_Wilkinson_III
27,We should ban partial birth abortions,"As Chairman of the House Subcommittee on the Constitution, Chabot authored the legislation to ban the practice of partial-birth abortion.",Steve Chabot,https://en.wikipedia.org/wiki/Steve_Chabot
28,We should ban partial birth abortions,"In 1999 and 2003, Daschle voted in favor of the ban on so-called ""partial-birth abortion"",[REF][REF] and supported legislation making it a crime to harm a fetus when someone attacks a pregnant woman [REF].",Tom Daschle,https://en.wikipedia.org/wiki/Tom_Daschle
29,We should ban partial birth abortions,"In the Senate, Kerry has consistently voted against bans on abortions conducted on military bases and military installations overseas, as well as against the ban on partial-birth abortion.","John Kerry presidential campaign, 2004","https://en.wikipedia.org/wiki/John_Kerry_presidential_campaign,_2004"
30,We should ban partial birth abortions,NARAL endorsed Sestak in the 2010 Democratic primary over Specter because of Sestak's opposition to a ban on partial birth abortion [REF].,Joe Sestak,https://en.wikipedia.org/wiki/Joe_Sestak
31,We should ban partial birth abortions,Brownback also supports parental notification for minors who seek an abortion and opposes Partial Birth Abortion [REF].,Sam Brownback,https://en.wikipedia.org/wiki/Sam_Brownback
32,We should ban partial birth abortions,"During his term, Sodrel expressed strong pro-life opinions and opposed partial-birth abortions and federal funding for elective abortions.",Mike Sodrel,https://en.wikipedia.org/wiki/Mike_Sodrel
33,We should ban partial birth abortions,"Smith has described himself as pro-life,[REF] and in 2003 he voted in favor of the Partial-Birth Abortion Ban Act, legislation that prohibits the controversial intact dilation and extraction procedure.",Gordon H. Smith,https://en.wikipedia.org/wiki/Gordon_H._Smith
34,We should ban partial birth abortions,Kaptur also voted in favor of banning partial-birth abortions in 2000 and 2003 [REF].,Marcy Kaptur,https://en.wikipedia.org/wiki/Marcy_Kaptur
35,We should ban partial birth abortions,"As Governor, Gilmore signed into law legislation establishing a 24-hour waiting period and informed consent for women seeking an abortion, as well as a ban against partial birth abortion.",Jim Gilmore,https://en.wikipedia.org/wiki/Jim_Gilmore
36,We should ban partial birth abortions,Additional polls from 2003 found between 47-70% in favor of banning partial-birth abortions and between 25-40% opposed [REF].,Partial-Birth Abortion Ban Act,https://en.wikipedia.org/wiki/Partial-Birth_Abortion_Ban_Act
37,We should ban partial birth abortions,"For example, Kennedy dissented in the 2000 decision in Stenberg v. Carhart, which struck down laws criminalizing partial-birth abortion [REF].",Anthony Kennedy,https://en.wikipedia.org/wiki/Anthony_Kennedy
38,Homeschooling should be banned,"Gallup polls of American voters have shown a significant change in attitude in the last twenty years, from 73% opposed to home education in 1985 to 54% opposed in 2001 [REF].",Homeschooling,https://en.wikipedia.org/wiki/Homeschooling
39,Homeschooling should be banned,Status: Legal It follows from § 76 in the Danish constitution that homeschooling is legal [REF].,Homeschooling international status and statistics,https://en.wikipedia.org/wiki/Homeschooling_international_status_and_statistics
40,Homeschooling should be banned,"Home schooling is important in the Mountain Communities, according to a March 2008 report in the local weekly newspaper, the Mountain Enterprise, which added: Per capita, the Mountain Communities may have one of the highest rates of homeschooling in the state, far above the national average of 2 to 4 percent, Holly Van Houten . .",El Tejon Unified School District,https://en.wikipedia.org/wiki/El_Tejon_Unified_School_District
41,Homeschooling should be banned,"Stanford University political scientist Professor Rob Reich [REF] (not to be confused with former U.S. Secretary of Labor, Robert Reich) wrote in The Civic Perils of Homeschooling (2002) that homeschooling can potentially give students a one-sided point of view, as their parents may, even unwittingly, block or diminish all points of view but their own in teaching.",Homeschooling,https://en.wikipedia.org/wiki/Homeschooling
42,Homeschooling should be banned,"Unschoolers cite studies which report that home educated students tend to be more mature than their schooled peers,[REF][REF][REF] and some believe this is a result of the wide range of people with which they have the opportunity to communicate [REF].",Unschooling,https://en.wikipedia.org/wiki/Unschooling
43,Homeschooling should be banned,"Home-schooling is important in Frazier Park and surrounding areas, according to a March 2008 report in the Mountain Enterprise, which added: Per capita, the Mountain Communities may have one of the highest rates of homeschooling in the state, far above the national average of 2 to 4 percent, Holly Van Houten . .","Frazier Park, California","https://en.wikipedia.org/wiki/Frazier_Park,_California"
44,Homeschooling should be banned,"In September 2006, the European Court of Human Rights upheld the German ban on homeschooling, stating ""parents may not refuse.. [compulsory schooling] on the basis of their convictions"", and adding that the right to education ""calls for regulation by the State"".",Homeschooling international status and statistics,https://en.wikipedia.org/wiki/Homeschooling_international_status_and_statistics
45,Homeschooling should be banned,"Franklin was an opponent of public schools, stating on his weekly blog that, ""The State Has No Jurisdiction To Educate Our Children - Period!""[REF] Rep. Franklin commented that public schools are a ""sinking ship"" and he believed that private and home schooling are a better alternative for Georgia.",Bobby Franklin,https://en.wikipedia.org/wiki/Bobby_Franklin
46,Homeschooling should be banned,"In 1980, Holt said, ""I want to make it clear that I don't see homeschooling as some kind of answer to badness of schools.",Homeschooling,https://en.wikipedia.org/wiki/Homeschooling
47,Homeschooling should be banned,"Homeschooling is increasingly becoming recognized as a viable alternative to institutional education, and fewer families are being targeted for prosecution.",Homeschooling in the United States,https://en.wikipedia.org/wiki/Homeschooling_in_the_United_States
48,Homeschooling should be banned,Home education is favored by a growing number of parents who take direct responsibility for their children's education rather than enrolling them in local public schools seen as not meeting expectations.,Education reform,https://en.wikipedia.org/wiki/Education_reform
49,Homeschooling should be banned,"As a freshman on the Platform Committee, Schwartz added ""home schooling"" as a legitimate alternative to public school education to the Platform.",Bob Schwartz,https://en.wikipedia.org/wiki/Bob_Schwartz
50,Homeschooling should be banned,The Christian right sees homeschooling and private schooling as a viable alternative to secular education.,Christian right,https://en.wikipedia.org/wiki/Christian_right
51,Homeschooling should be banned,The ACT government supports home education under the ACT Education Act 2004.,Education in the Australian Capital Territory,https://en.wikipedia.org/wiki/Education_in_the_Australian_Capital_Territory
52,Homeschooling should be banned,"The National Education Association, a United States teachers' union and professional association, opposes homeschooling [REF].",Homeschooling,https://en.wikipedia.org/wiki/Homeschooling
53,Homeschooling should be banned,"In August 2008, the court issued a new decision unanimously reversing its earlier decision and the Court further stated that homeschooling was legal in California [REF].",Homeschooling in the United States,https://en.wikipedia.org/wiki/Homeschooling_in_the_United_States
54,Homeschooling should be banned,"Gosling has said that homeschooling gave him ""a sense of autonomy that I've never really lost"" [REF].",Ryan Gosling,https://en.wikipedia.org/wiki/Ryan_Gosling
55,We should increase government regulation,"Firstly, said Quesnay, regulation impedes the flow of income throughout all social classes and therefore economic development.",History of economic thought,https://en.wikipedia.org/wiki/History_of_economic_thought
56,We should increase government regulation,"Huberty, a survivalist, saw signs of growing trouble in America, believing that government meddling and regulation was the cause of business failures and unemployment, including his own.",San Ysidro McDonald's massacre,https://en.wikipedia.org/wiki/San_Ysidro_McDonald's_massacre
57,We should increase government regulation,"In October 2007, a public opinion poll taken by the Japanese government showed that 86.5% of respondents favored regulation on art depicting child pornography, while 90.9% endorsed regulation of ""harmful materials"" on the Internet [REF].",Child pornography laws in Japan,https://en.wikipedia.org/wiki/Child_pornography_laws_in_Japan
58,We should increase government regulation,"Energy: Badnarik opposes government regulation of the energy industry, instead arguing that the free market is more effective in controlling prices and maintaining stability.",Michael Badnarik,https://en.wikipedia.org/wiki/Michael_Badnarik
59,We should increase government regulation,"As with wired Internet access, the CTIA has stated that they strongly believe that regulation is not necessary and may do more harm than good [REF].",Policies promoting wireless broadband in the United States,https://en.wikipedia.org/wiki/Policies_promoting_wireless_broadband_in_the_United_States
60,We should increase government regulation,LEAP is a drug law reform organization that believes legalized regulation is the only ethical and efficient way to undo the damage caused by the War on Drugs.,Law Enforcement Against Prohibition,https://en.wikipedia.org/wiki/Law_Enforcement_Against_Prohibition
61,We should increase government regulation,"2005 - the RCEP's report agreed with Downs' claim that current regulations are inadequate, and concluded that crop spraying is a health risk.",UK Pesticides Campaign,https://en.wikipedia.org/wiki/UK_Pesticides_Campaign
